,Item Title,Item Price,Unnamed: 0
0,ELEIKO SPORT WEIGHTLIFTING TRAINING DISC - BLACK **Used** 2 X 20kg Weight Plates,£180.00,
1,10 / 2.5 / 1.25KG Weight Plates Set for Gym Barbell Vinyl Standard Home Dumbbell,£2.20,
2,"Premium Colour Bumper Plates | Steel insert | 5kg-25kg, 60/100/110/150KG Sets",£44.99,
3,Olympic Rubber Weight Plate 10kg 15kg 20kg 25kg & 6FT Barbell (Individual),£24.99,
4,Crane Weight plates bundle 8x 1 kg,£15.00,
0,2 Jordan Fitness 10kg Urethane Olympic Discs Urethane 20kg,£40.00,0.0
1,"2"" TNP Rubber Encased Tri Grip OLYMPIC Barbell Weight Disc Plates Set range",£9.99,1.0
2,Hardcastle Weight Lifting Plates/Discs Gym Training Dumbbell/Bar Vinyl Weights,£8.99,2.0
3,"Iron Weight Plates Set 5KG 10KG 20KG 1"" barbell 6ft Dumbbell Lifting Training",£11.99,3.0
4,"Weight Plates Set 5KG 10KG 20KG Vinyl 1"" Standard Home Dumbbell Lifting Training",£9.99,4.0
5,"2 X 10kg Vinyl Coated 1"" Weight Plates 20kg Total Weights For Weightlifting Bar",£23.40,5.0
6,10kg/20kg Dumbells Pair of Gym Weights Barbell/Dumbbell Body Building Weight Set,£13.59,6.0
7,"2 x 20kg bumper plates, brand new pair of 20kg plates (2 X 20kg) `B`grade",£74.99,7.0
8,2 x 10kg 1 inch weight plates,£16.00,8.0
9,"Weight Plates Set Pair Cast Iron 2"" Hole Disc Dumbbell Olympic Barbell Weights",£17.99,9.0
10,Adjustable Dumbbells 20Kg 30Kg 50Kg Cast Iron Weights Barbell Set Dumbbells New,£25.99,10.0
11,"Olympic Plates Tri-grip Weight Rubber Cast Iron 2""  Weights Home 5kg x 4pc/20kg",£69.99,11.0
12,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£99.66,12.0
13,2x5/10/15/20kg 100kg Set 2'' Rubber Olympic Barbell Bumper Weight Plate,£29.99,13.0
14,"Cast Iron Weight Plates Set Pair 2"" Hole Disc Dumbbell Olympic Barbell Weights",£18.99,14.0
15," Rubber Bumper Weight Plates Hi Temp Pro Grade GYM CROSSFIT 2""",£40.00,15.0
16,"GymCo. Cast Iron Weight Plates 107.5 Kg 2 x 1.25kg,2.5kg,5kg,10kg,15kg and 20kg.",£10.00,16.0
17,Exersci Cast Iron Olympic weight plates 2 inch (Pair) 1.25 - 20kg,£16.99,17.0
18,5 kg Free Weights Plates for Standard 30mm Barbell Dumbbell Home Gym Lifting,£23.95,18.0
19,Bumper Weight Plates Black Olympic Size Rubber Crumb  5kg 10kg 15kg 20kg Gym ,£15.00,19.0
20,"Weight Plates Set 5KG 10KG 20KG Vinyl 1"" barbell 6ft Dumbbell Lifting Training",£10.99,20.0
21,Swiss Olympic Weight Plate Storage 300kg Weight Capacity Wall & Floor Mounted,£89.99,21.0
22,"Tri Grip Olympic Weight Plates Cast Iron Rubber Encased 2"" 2 inch Barbell Weight",£12.99,22.0
23,Cast Iron 0.5kg 1.25kg 2.5kg 5kg 10kg Disc 1” Weight Plates Barbell Dumbbell ,£8.99,23.0
24,2 x 20kg Pro Plates Weight Plates,£40.00,24.0
25,2x5/10/15/20kg 2'' Olympic Rubber Weight Barbell Bumper Plate Gym Home Workout,£29.99,25.0
26,SINGLE WEIDER 6KGS 'ONE-INCH' WEIGHT PLATE,£10.00,26.0
27,"Exersci Premium Black Bumper Plates 5kg-25kg, 100kg & 150kg Sets",£29.99,27.0
28,Weight Plates 1 inch Vinyl Dumbbell Plates Barbell Weight Set 2.5KG 5KG 10KG ,£18.95,28.0
29,MARCY OLYMPIC BUMPER PLATES 20KG PAIR,£60.00,29.0
30,4 x 5KG One Inch Iron Weight Plates,£15.00,30.0
31,"BlackBull Fitness® Rubber Bumper Weight Plates Hi Temp Grade GYM CROSSFIT 2"" ",£36.00,31.0
32,"Cast Iron Weight Plates Set Pair 2"" Hole Disc Dumbbell Olympic Barbell Weights",£21.99,32.0
33,Pair of 20kg weight plates Olympic style - good condition!,£25.00,33.0
34,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£108.66,34.0
35,Pair Body Sculpture 20kgs Cast Iron Vintage Weightlifting Weight Plates 1”,£40.00,35.0
36,20kg Cast Iron Weight Plate 2 inch,£16.00,36.0
37,20kg Cast Iron Weight Plate 2 inch,£16.00,37.0
38,2 x 20kg 2” Mirafit Olympic Rubber Bumper Plates,£70.00,38.0
39,"Cast Iron Weight Plates, 0.5kg to 20kg pairs, for 1"" Weight Lifting Bars",£9.49,39.0
40,Weights - Weight Plates Rubber Bumper Plates Olympic 5kg - 25kg -  MuscleSquad ,£40.00,40.0
41,2 X 20kg Olympic Black Bumper Plates Tufftech,£34.00,41.0
42,Body Rip 20kg Tri Grip Weight Plates (X2),£36.00,42.0
43,"120KG Olympic Tri-Grip Plate Set, Iron Weight Discs - plus 20kg Barbell",£113.11,43.0
44,"Cast Iron Weight Plates 1"" Hole Disc Dumbbell Barbell Weight Fitness Training",£12.99,44.0
45,TRI-GRIP Cast Iron Olympic Disc Weight Plates EZ Bar Barbell Weights Fitness Gym,£20.99,45.0
46,"Barbell Weight Plates 1"" Brand New Cast Iron Home Gym Replacement Extra Weights",£25.20,46.0
47,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£115.57,47.0
48,"Weight Plates Set Pair Cast Iron 1"" Hole Disc Dumbbell Standard Barbell Weights",£18.99,48.0
49,2 x 20 Kg  Hi temp durable bumper plates 40kg total weight,£79.99,49.0
50,"Olympic Standard Weight Plates 2"" Inch Bar Home Gym Barbell Lifting Weights Disc",£8.99,50.0
51,Dumbbells Weight Plates 30mm 10kg Set (4х2.5kg) Home Gym Training Standard Bars,£19.95,51.0
52,"Cast Iron Weight Plates Set Pair 1"" Hole Disc Dumbbell standard Barbell Weights",£18.99,52.0
53,Adjustable Dumbbells 20Kg 30Kg 50Kg Cast Iron Weights Barbell Set Dumbbells New,£27.99,53.0
54,"Black Steel Olympic Weight Plates for 2"" bars. 2.5kg - 20Kg. UK stock.",£20.00,54.0
55,20kg weight plate,£30.00,55.0
56,20kg weight plate iron,£30.00,56.0
57,KK Weight Plates Set 1 Inch 2.5kg 5kg 10kg  Cast Iron Barbell plates ,£18.95,57.0
58,Olympic Rubber Weight Plate 10kg 15kg 20kg 25kg (PRICE FOR 1 PLATE),£34.99,58.0
59,Olympic Weight Plate Storage Bumper Plates 4 Horns 300kg Weight Capacity £89.99,£89.99,59.0
60,Les Mills Body Pump Set Smart Bar And Weight Plates All Genuine Les Mills,£350.00,60.0
61,2 X 20kg bumper plates - Domyos,£55.00,61.0
62,Rogue Colour Echo Bumper Weight Plates 2 x 20KG,£135.00,62.0
63,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£71.00,63.0
64,"10kg X2 Opti Vinyl Weight Plates 1"" Inch Hole Suitable for Standard Barbells",£25.00,64.0
65,"XN8 Standard Weight Plates 5-20KG Cast Iron Set Bumper 1"" Olympic Training Disc ",£19.99,65.0
66,BodyMax Olympic 2” - Rubber WeightPlates 20kg Pair (40kg Total),£60.00,66.0
67,Men's Health 37cm Anti-Roll Rubber Weight Plates - 2 x 10kg,£55.99,67.0
68,RON JUDGE 2x 10kg Barbell Cast Iron 1Inch Plates,£35.00,68.0
69,2 x 10kg Body Sculpture Cast Iron Weight Plates,£35.00,69.0
70,Olympic Polygonal Hex Weight Plate Tri Grip Plates Rubber Coated Barbell Weights,£13.99,70.0
71,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£87.00,71.0
72,Olympic Rubber Weight Plates 5kg - 25kg 2 Inch Bumper Pairs Sets Gym Crossfit,£100.99,72.0
73,20 KGS OF WEIDER 'ONE-INCH' WEIGHT PLATES,£35.00,73.0
74,Force USA Premium Rubber 20kg Olympic Tri Grip Weight Plate Set Pair New & Boxed,£59.99,74.0
75,Set Of York Weights - 4 x 5KG Plates - 20KG Dumbbells & Bar Liverpool Pickup,£69.99,75.0
76,4 x 5KG One Inch Iron Weight Plates,£15.00,76.0
77,Body power 20kg weight plates olympic lifting. Good condition ,£40.00,77.0
78,"Cast Iron 2"" Olympic Weight Plates TRI-GRIP 1.25KG - 25KG",£18.95,78.0
79,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£92.00,79.0
80,CLEARANCE | Rubber Olympic Tri-Grip Weight Plates | Pairs and Full Sets,£39.99,80.0
81,"Weights Plates, Tri -weights Gym Equipment 10 X 20 KG PLATES  200KG Total !!",£155.00,81.0
82,20kg Body Pump Barbell Weight Plates Set Home Strength Training Workout Rubber,£69.99,82.0
83,Tri-Grip Dumbbell Olympic Weight Lifting Plates Fitnes Home Gym Barbell Plate 2″,£32.95,83.0
84,PRO FITNESS Olympic Rubber Coated Hex Weight Plates 1 x 20KG (2 inch),£45.00,84.0
85,EVERLAST 20kg Rubber Weight Set (Weights only),£31.99,85.0
86,Olympic Weight Plates 2 X 25kg 1 X 20kg,£60.00,86.0
87,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£82.00,87.0
88,York 2 x 20kg Black Cast Iron Standard Weight Plates 1Inch Discs,£99.99,88.0
89,Mirafit 20kg Coloured Crumb Rubber Olympic Bumper Plates - x2,£70.00,89.0
90,2 x 20KG olympus chrome  plates 1inch fitment ,£85.00,90.0
91,"Unlocked Fitness Bumper Weight Plates Set (5kg, 10kg, 15kg, 25kg Pairs)",£140.00,91.0
92,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£69.00,92.0
93,2 x 20kg 2” Mirafit Olympic Bumper Plates,£80.00,93.0
94,"Power Gym 10kg Weight plate, sold as single ",£0.99,94.0
95,"Power Gym 15kg Weight plate, sold as single ",£0.99,95.0
96,"Power Gym 20kg Weight plate, sold as single ",£0.99,96.0
97,"Barbell And Dumbbell Weight Set - 2.5kg, 5kg, 10kg, 20kg - Total 150kg",£85.00,97.0
98,Weight plates 2 x 20 Kilo plates 1 inch hole ,£30.00,98.0
99,weight plates 2 X 20 kilos ,£30.00,99.0
100,Jungeling Cast Iron Weight Plate 2x20kg ,£70.00,100.0
101,"Mirafit 1 x 20kg 2"" Olympic Crumb Rubber Bumper Plate Weight Lifting Gym #344",£39.99,101.0
102,Mirafit Cast Iron Ruck Plates. 5kg 10kg 15kg 20kg complete set,£122.00,102.0
103,Olympic Rubber Weights Tri-Grip Plates Set Home Fitness Lift Heavy Disc GYM Pair,£79.99,103.0
104,4ft Olympic Barbell and 2 x 10kg Weights ,£51.00,104.0
105,pair 20kg Olympic weight plates ,£60.00,105.0
106,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£82.00,106.0
107,2 x 20kg olympic 2inch weights  read description,£45.00,107.0
108,Cast Iron Weight Plate 1-20KG Tri Grip and Gazebo Weight Plate REFRUB GRADE B,£6.99,108.0
109,2 x 20kg Cast Iron weight plates 1 inch,£50.00,109.0
110,"10kg x2 Opti Cast Iron Weight Plates 1"" Inch Hole Suitable for Standard Barbells",£35.00,110.0
111,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 05",£270.00,111.0
112,"5kg x4 Opti Cast Iron Weights Plates 1"" Inch Hole Suitable for Barbell Dumbbell",£27.50,112.0
113,Jordan fitness 20kg weight lifting plates gym equipment x2 available £2 per kg,£40.00,113.0
114,Escape Commercial Tri Grip Olympic Urethane Training Discs Weight plates. 20kg,£25.00,114.0
115,"JLL® Cast Iron Weight Plates, 0.5kg to 20kg pairs, for 1"" Weight Lifting Bars",£11.99,115.0
116,"HALE Black Bumper Plates Rubber Weight Olympic 2"" New 5KG 10KG 15KG 20KG 25KG",£40.00,116.0
117,"RUBBER BUMPER PLATE - OLYMPIC - 2"" 50MM - 5KG - 10KG - 15KG - 20KG - 25KG",£80.00,117.0
118,Weight plates 1” bundle with about 100kg weights and rack plate tree,£72.00,118.0
119,Olympic Barbell With Weights,£96.00,119.0
120,PAIR 20kg  Bumper Plate Rubber Weight lifting must pick up,£46.00,120.0
121,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£67.00,121.0
122,Pair of 20kg Tri Grip Olympic Weight Plates,£41.00,122.0
123,4 X 20kg BodyMax Cast Iron Tri-Grip Olympic Weight Plates 80kg Total,£150.00,123.0
124,"Olympic Rubber Coated Cast Iron Barbell Plates 2"" 50mm Tri Grip Weight Plates",£14.99,124.0
125,Cast Iron Weight Plates 2x 10kg 2x 20kg  + Standard Steel Barbell,£110.00,125.0
126,"2x 20kg spartan weight plates 2"" centres",£70.00,126.0
127,"Power Gym 20kg Weight plate, sold as single ",£21.00,127.0
128,"Classic Olympic 2"" Cast-Iron Weight Plates",£25.99,128.0
129,2x5/10/15/20kg 2'' Olympic Rubber Barbell Bumper Weight Plates Gym Home,£29.99,129.0
130,"10kg, Weight Plates, Tri Grip, Olympic Rubber Coated, Pair. 2 x 10kg = 20kg",£49.95,130.0
131,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 04",£275.00,131.0
132,"Weight Plates Rubber Bumper Plates 70kg set (2x5kg, 2x10kg, 2x20kg) `B` grade",£154.99,132.0
133,"Weight Plates Set 20kg Standard 1"" Vinyl Barbell Dumbbell Lifting Training Discs",£26.99,133.0
134,20kg bumper plates. Strength Shop,£65.00,134.0
135,2 x 20kg 2” Mirafit Olympic Rubber Bumper Plates,£90.00,135.0
136,Mirafit 20kg Studio Pump Weights & Barbell Rep Set Aerobic Body Strength Workout,£89.99,136.0
137,Olympic Bumper Weight Plates 5kg - 25kg Hi Impact Rubber Weights Sets Training,£76.99,137.0
138,20kg Cast Iron Weight Plates X2 - Domyos,£120.00,138.0
139,York ISO-Grip Steel Composite Rubber Coated Gym Olympic Weight Plates - 20kg,£25.00,139.0
140,"Golds Gym Authentic 20kg 1"" Cast Iron Barbell Plates",£40.00,140.0
141,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 02",£210.00,141.0
142,2 olympic body power cast iron weights 44lb or 20 kilos ,£50.00,142.0
143,20kg x 2 TNP weight plates,£40.00,143.0
144,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 03",£280.00,144.0
145,York 2x 10kg Black Cast Iron 1Inch Plates,£54.99,145.0
146,Olympic Bumper Plates Weight Rubber Crumb Set Barbell - 5KG 10KG 15KG 20KG 25KG,£29.99,146.0
147,Adjustable Free Weight Sets Dumbbell Bars Weight Plates Standard 30mm Barbells,£13.95,147.0
148,20kg olympic plates,£42.00,148.0
149,caste iron weights 142Kg mostly York 2x20kg  4x10kg 4x 7.5 4x 5kg  10x 1kg 4x0.5,£150.00,149.0
150,"2x 20kg Cast Iron York Style Olympic Weight Plates 2""",£80.00,150.0
151,Hex Dumbbells Cast Iron Rubber Encased Hexagonal Dumbbells Gym Weight Set Home ,£14.99,151.0
152,150kg Plate Set with 20kg Olympic Bar. Adjustable Squat Dip Rack Weights Station,£550.00,152.0
153,20kg weight plates - concrete,£5.00,153.0
154,Jordan Fitness Tri Grip Weight Plates 20kg X 2,£70.00,154.0
155,2 x 20kg weight plates 1 inch,£80.00,155.0
156,"FXR Sports 2"" Olympic Tri Grip Cast Iron Weight Plates Rubber Encased",£19.95,156.0
157,"Olympic 2"" Bumper Weight Plates 25KG Pairs B Grade Cheap Delivered UK",£75.00,157.0
158,"2 x 10kg cast iron weight plates - 1"" Hole diameter  (20kg total)",£35.00,158.0
159,"Multiple Body Max 2 inch weight plates (1.25kg, 2.5kg, 5kg, 10kg, 15kg & 20kg)",£139.00,159.0
160,Hampton 20kg weight plates (pair),£45.00,160.0
161,CERBERUS Cast Iron Olympic Plates,£13.99,161.0
162,15kg York ISO-Grip Steel Composite Rubber Coated Gym Olympic Weight Plates.,£25.00,162.0
163,8x 20kg york 1 Inch Plates,£12.00,163.0
164,"2 X 10kg Vinyl Coated 1"" Weight Plates 20kg Total Weights For Weightlifting Bar",£27.99,164.0
165,York 20kg Olympic Weight Cast Iron Plates 2 Inch Hole Pair of 20kg. ,£90.00,165.0
166,"Olympic discs - 20kg, 15kg, 2.5kg and 1.25kg pairs",£140.00,166.0
167,"2x 20kg Silver 1"" Vinyl Iron Filled Weight Plates/Discs Gym Weights Bar Training",£49.99,167.0
168,Olympic Weight Plates Set,£5.00,168.0
169,Hardcastle Weight Lifting Plates/Discs Gym Training Dumbbell/Bar Vinyl Weights,£8.99,169.0
170,Bauer Commercial Rubber 50mm Olympic Plates (No Logo) 15kg & 20kg Options,£39.99,170.0
171,2x 20kg Gold’s Gym Olympic Weight Plates,£53.00,171.0
172,2 x 20kg Olympic Weights. 2 Sets Of 2 Available.,£70.00,172.0
173,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 02",£280.00,173.0
174,10kg/20kg Dumbells Pair of Gym Weights Barbell/Dumbbell Body Building Weight Set,£13.59,174.0
175,10KG x 2 Cast Iron Barbell 25mm Weight Plates 20KG Total Standard Plates ,£45.00,175.0
176,2 x 10KG Cast Iron Barbell Dumbbell Weight Plates 20KG Total Weight Plates 25MM ,£45.00,176.0
